SQL Job,User,,,,,
Capture History Data,SUMMERCLASSICS\SqlAgentUser,,,,,
Update M-Files Reference Data (Daily ArInvoice_ArTrnSummary),SUMMERCLASSICS\SqlAgentUser,,,,,
Backup Databases FULL (monthly),SUMMERCLASSICS\SqlAgentUser,,,,,
Chairish,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Kathy Kuo Home - Gabby - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Integration - 2Ship - GetChanges and ShipHold,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - Accounting - Wells Fargo - ACH (Production),SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Design Trade Service - Gabby - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Download - Summer Classics Retail (Order),SUMMERCLASSICS\SqlAgentUser,,,,,
SQL Sentry 2.0 Alert Trap,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - Accounting - All Factors - Credit Confirmation (Production),SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Scout and Nimble - Gabby - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Notify Event - Ship Date Notification,SUMMERCLASSICS\SqlAgentUser,,,,,
Update Data Warehouse for Company 100,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - Renegade - Gabby - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Shrink Logs,SUMMERCLASSICS\SqlAgentUser,,,,,
eCat Download - Gabby (Order),SUMMERCLASSICS\SqlAgentUser,,,,,
KILL SPIDS,SUMMERCLASSICS\SqlAgentUser,,,,,
Check for Long Running Jobs,SUMMERCLASSICS\SqlAgentUser,,,,,
Update SorMaster OrderDate and ReqShipDate,SUMMERCLASSICS\SqlAgentUser,,,,,
Datafeed - eCommerce - PatioLiving - SCW - Inventory,SUMMERCLASSICS\SqlAgentUser,,,,,
Purge Log - SQL Job History,SUMMERCLASSICS\SqlAgentUser,,,,,
SSIS Server Maintenance Job,##MS_SSISServerCleanupJobLogin##,,,,,
lsi_Automated Wip Process - Kit Issue,Datascope,,,,,
lsi_Automated Wip Process - Job Closure,Datascope,,,,,
Isi_Automated Transfers In to X and Donation Warehouses,Datascope,,,,,
Isi_Automated Inventory Internal SCT Process,Datascope,,,,,
